"Fish_species","Scientific_name","Stock_status","Region"
"Bald glassy","Ambassis gymnocephalus","Unknown","South China Sea"
"Beka squid","Loligo beka","Unknown","East China Sea"
"Belenger's croaker","Johnius belengerii","Unknown","East China Sea"
"Bladder moon snail","Polinices didyma","Unknown","East China Sea"
"Bluespotted stargazer","Xenocephalus elongatus","Unknown","East China Sea"
"Bombay-duck","Harpadon nehereus","Moderately fully exploited","East China Sea"
"Brownback trevally","Carangoides praeustus","Unknown","South China Sea"
"Butterfly bobtail squid","Sepiola birostrata","Unknown","East China Sea"
"Chinese ditch prawn","Palaemon gravieri","Unknown","East China Sea"
"Commerson's anchovy","Stolephorus commersonnii","Overexploited","East China Sea"
"Common frog shell","Bufonaria rana","Unknown","East China Sea"
"Common hairfin anchovy","Setipinna tenuifilis","Unknown","Yellow and Bohai Seas; East China Sea"
"Common octopus","Octopus vulgare","Depleted","East China Sea"
"Crocodile flathead","Cociella crocodila","Unknown","East China Sea"
"Deep pugnose ponyfish","Secutor ruconius","Unknown","South China Sea"
"Dotted gizzard shad","Konosirus punctatus","Unknown","South China Sea"
"Fat greenling","Hexagrammos otakii","Unknown","East China Sea"
"Finespot goby","Chaeturichthys stigmatias","Unknown","East China Sea"
"Firefly lanternfish","Hygophum proximum","Unknown","East China Sea"
"Forksnout searobin","Lepidotrigla alata","Unknown","East China Sea"
"Gaper","Tresus Keenae","Unknown","East China Sea"
"Gray stingfish","Minous monodactylus","Unknown","East China Sea"
"Gunther's lizard fish","Synodus kaianus","Unknown","South China Sea"
"Hardyhead silverside","Atherinomorus lacunosus","Unknown","South China Sea"
"Indian anchovy","Stolephorus indicus","Overexploited","East China Sea"
"Indian perch","Apogonichthys lineatus","Unknown","East China Sea"
"Japanese bonnet","Phalium bisulcatum","Unknown","East China Sea"
"Japanese scad","Decapterus maruadsi","Overexploited","South China Sea"
"Japanese silver biddy","Gerres equulus","Unknown","South China Sea"
"Japanese stone crab","Charybdis Japonica","Unknown","East China Sea"
"Javelin goby","Synechogobius hasta","Unknown","East China Sea"
"Kammal thryssa","Thrissa kammalensis","Unknown","South China Sea"
"Keeled mullet","Liza carinata","Unknown","South China Sea"
"Kobi cuttlefish","Sepia kobiensis Hoyle","Overexploited","East China Sea"
"Largehead hairtail","Trichiurus lepturus","Overexploited","South China Sea"
"Largescale lizardfish","Saurida brasiliensis","Unknown","East China Sea"
"Longtail silver biddy","Gerres longirostris","Unknown","East China Sea"
"Macclelland's codlet","Bregmaceros mcclellandi","Unknown","East China Sea"
"Mackerel scad","Decapterus macasellus","Unknown","East China Sea"
"Mantis shrimp","Oratosquilla oratoria","Unknown","East China Sea"
"Mimika bobtail squid","Euprymna morsei","Unknown","East China Sea"
"Moonfish","Mene maculate","Unknown","South China Sea"
"Offshore ponyfish","Equulites rivulatus","Unknown","East and South China Seas"
"Orangefin ponyfish","Photopectoralis bindus","Unknown","South China Sea"
"Oriental flying gurnard","Dactylopterus orientalis","Unknown","East China Sea"
"Osbeck's grenadier anchovy","Coilia mystus","Unknown","East China Sea"
"Pacific mackerel","Scomber japonicus","Unknown","East China Sea"
"Pacific sandlance","Ammodytes personatus","Unknown","East China Sea"
"Pinkgray goby","Amblychaeturichthys hexanema","Unknown","East China Sea"
"Red eelgoby","Caragobius rubristriatus","Unknown","East China Sea"
"Robust tonguefish","Cynoglossus robustus","Unknown","East China Sea"
"Sand crab","Ovalipes punctatus","Unknown","East China Sea"
"Scaly hairfin anchovy","Setipinna taty","Unknown","East China Sea"
"Shortheaded tonguesole","Cynoglossus kopsii","Unknown","East China Sea"
"Shortnose ponyfish","Leiognathus brevirostris","Unknown","South China Sea"
"Silver jewfish","Argyrosomus argentatus","Overexploited","East and South China Seas"
"Skinnycheek lanternfish","Benthosema pterotum","Unknown","East China Sea"
"Slender lizardfish","Saurida elongata","Overexploited","South China Sea"
"Small yellow croaker","Larimichthys polyactis","Unknown","East China Sea"
"Spear dragonet","Callionymus huguenini","Unknown","East China Sea"
"Spinyhead croaker","Collichthys lucidus","Unknown","East China Sea"
"Spotfin cardinalfish","Apogonichthys carinatus","Unknown","East China Sea"
"Spotted velvetfish","Erisphex pottii","Unknown","East China Sea"
"Striated frogfish","Antennarius striatus","Unknown","East China Sea"
"Swordtip squid","Loligo edulis","Moderately exploited","East and South China Seas"
"Toothpony","Gazza minuta","Unknown","South China Sea"
"Veined rapa whelk","Rapana venosa","Unknown","East China Sea"
"Wart perch","Psenopsis anomala","Unknown","East China Sea"
"Whipfin silver biddy","Gerres filamentosus","Unknown","South China Sea"
"White croaker","Genyonemus lineatus","Unknown","East China Sea"
"Whitespotted conger","Conger myriaster","Unknown","East China Sea"
